Course Title,Description
CRL 436.  Polymer Chemistry Lab.  2 Credits.,"Synthesis of polymers; molecular, physical, and thermal characterization of polymers. Instrumental methods include X-rays, IR, electron microscopy, and thermal analysis. Pre / Co requisites: CRL 436 requires co-requisite of CHE 436 ."
CRL 476.  Biochemistry I Lab.  2 Credits.,Laboratory exercises in the fundamentals of biochemistry. Pre / Co requisites: CRL 476 requires co-requisite of CHE 476 . Typically offered in Fall & Spring.
CRL 477.  Biochemistry II Lab.  2 Credits.,"An advanced laboratory course in biochemistry. This course is a practical application of biochemical principles, methods used in forensic DNA typing, and drug metabolite analysis in toxicological matrices. Pre / Co requisites: CRL 477 requires prerequisites of CHE 476 and CRL 476 . Typically offered in Spring."
CRW 199.  Transfer Credits.  1-10 Credits.,Transfer Credits. Repeatable for Credit.
CRW 201.  Introduction to Creative Writing.  3 Credits.,"Introduction to the craft of writing poetry and fiction. Basic discussion of terms, strategies, and professional models in each genre. Practice in writing and critiquing each genre. Gen Ed Attribute: Writing Emphasis. Distance education offering may be available. Typically offered in Fall & Spring."
CRW 202.  Creative Writing I.  3 Credits.,"Writing experience in the crafts of fiction, poetry, nonfiction, and drama. Gen Ed Attribute: Writing Emphasis. Typically offered in Fall & Spring."
CRW 203.  Narrative and Lyric Forms.  3 Credits.,"The course provides instruction in narrative and/or lyrical forms in prose and poetry, depending on instructor, and includes analysis of structure. Students will gain writing experience in narrative and/or lyrical modes. Gen Ed Attribute: Writing Emphasis. Typically offered in Spring."
CRW 301.  Poetry Workshop I.  3 Credits.,The theory and practice of poetry and the exploration of verse forms. Practice in critical and interpretative analysis of poems written by fellow students and professional poets. Gen Ed Attribute: Writing Emphasis. Typically offered in Fall.
CRW 302.  Poetry Workshop II.  3 Credits.,"The theory and practice of poetry and the exploration of verse forms. Practice in critical and interpretative analysis of poems written by fellow students and professional poets. Pre / Co requisites: CRW 302 requires a prerequisite of CRW 201 , CRW 202 , CRW 203 , CRW 301 , CRW 303 , or CRW 305 . Gen Ed Attribute: Writing Emphasis. Typically offered in Fall."
CRW 303.  Short Story Workshop I.  3 Credits.,"Crafting the modern short story with reference to American and British models. The significance of setting, atmosphere, characterization, and theme. Discussion and some exploration of experimental ideas in the genre. Gen Ed Attribute: Writing Emphasis. Typically offered in Fall, Spring, Summer, Winter."
CRW 304.  Short Story Workshop II.  3 Credits.,"Crafting the modern short story with reference to American and British models. The significance of setting, atmosphere, characterization, and theme. Discussion and some exploration of experimental ideas in the genre. Pre / Co requisites: CRW 304 requires a prerequisite of CRW 201 , CRW 202 , CRW 203 , CRW 301 , CRW 303 , or CRW 305 . Gen Ed Attribute: Writing Emphasis. Typically offered in Fall. Repeatable for Credit."
CRW 305.  Creative Nonfiction Workshop I.  3 Credits.,"An exploration of the creative nonfiction genre, with a focus not only on writing and craft but also on analyzing the larger questions and contexts surrounding the genre (i.e. truth, authenticity, history and definitions of the genre, ethics of representation). Gen Ed Attribute: Writing Emphasis. Repeatable for Credit."
CRW 306.  Creative Nonfiction Workshop II.  3 Credits.,"A continued exploration of the history, theory and craft of the creative nonfiction genre, but with a focus on analyzing and writing various essay styles. Students will be encouraged to concentrate on one specific form (i.e. radio essay, flash nonfiction, hybrid or graphic forms, the lyric or braided essay, environmental writing, travel writing, memoir) Pre / Co requisites: CRW 306 requires a prerequisite of CRW 201 , CRW 202 , CRW 203 , CRW 301 , CRW 303 or CRW 305 . Gen Ed Attribute: Writing Emphasis. Typically offered in Spring."
